# y+ ()       
# Time        	patch         	min           	max           	average       
1900          	wall-l2	1.703189e+01	2.215402e+01	1.904903e+01
1900          	wall-h2	1.749640e+01	2.317210e+01	1.968695e+01
1900          	airfoil-h2	3.596500e-02	8.815896e-02	6.677909e-02
1900          	wall-h1	1.661970e+01	1.748966e+01	1.707822e+01
1900          	airfoil-h1	3.279247e-02	1.024401e-01	9.156475e-02
1950          	airfoil-l1	4.033724e-02	1.029889e-01	9.097162e-02
1950          	wall-l1	1.620094e+01	1.702239e+01	1.663337e+01
1950          	airfoil-l2	3.613944e-02	8.648441e-02	6.666369e-02
1950          	wall-l2	1.702874e+01	2.215054e+01	1.904551e+01
1950          	wall-h2	1.750072e+01	2.318346e+01	1.969352e+01
1950          	airfoil-h2	3.594582e-02	8.815929e-02	6.676754e-02
1950          	wall-h1	1.662488e+01	1.749396e+01	1.708263e+01
1950          	airfoil-h1	3.279853e-02	1.024411e-01	9.156553e-02
2000          	airfoil-l1	4.033265e-02	1.029882e-01	9.097060e-02
2000          	wall-l1	1.619912e+01	1.702027e+01	1.663115e+01
2000          	airfoil-l2	3.611766e-02	8.648264e-02	6.665079e-02
2000          	wall-l2	1.702654e+01	2.214374e+01	1.904178e+01
2000          	wall-h2	1.750587e+01	2.319175e+01	1.969919e+01
2000          	airfoil-h2	3.592926e-02	8.815965e-02	6.675760e-02
2000          	wall-h1	1.662944e+01	1.749924e+01	1.708676e+01
2000          	airfoil-h1	3.280413e-02	1.024421e-01	9.156622e-02
2050          	airfoil-l1	4.032841e-02	1.029876e-01	9.096971e-02
2050          	wall-l1	1.619612e+01	1.701785e+01	1.662901e+01
2050          	airfoil-l2	3.609835e-02	8.648115e-02	6.663952e-02
2050          	wall-l2	1.702413e+01	2.213751e+01	1.903834e+01
2050          	wall-h2	1.751043e+01	2.319935e+01	1.970496e+01
2050          	airfoil-h2	3.591485e-02	8.816001e-02	6.674906e-02
2050          	wall-h1	1.663164e+01	1.750374e+01	1.709061e+01
2050          	airfoil-h1	3.280930e-02	1.024429e-01	9.156683e-02
2100          	airfoil-l1	4.032443e-02	1.029871e-01	9.096893e-02
2100          	wall-l1	1.619296e+01	1.701450e+01	1.662668e+01
2100          	airfoil-l2	3.608129e-02	8.647990e-02	6.662968e-02
2100          	wall-l2	1.702086e+01	2.213134e+01	1.903528e+01
2100          	wall-h2	1.751326e+01	2.320653e+01	1.971034e+01
2100          	airfoil-h2	3.590236e-02	8.816037e-02	6.674172e-02
2100          	wall-h1	1.663389e+01	1.750649e+01	1.709411e+01
2100          	airfoil-h1	3.281415e-02	1.024437e-01	9.156738e-02
2150          	airfoil-l1	4.032057e-02	1.029866e-01	9.096824e-02
2150          	wall-l1	1.619202e+01	1.701289e+01	1.662446e+01
2150          	airfoil-l2	3.606625e-02	8.647885e-02	6.662107e-02
2150          	wall-l2	1.701927e+01	2.212830e+01	1.903194e+01
2150          	wall-h2	1.751719e+01	2.321495e+01	1.971509e+01
2150          	airfoil-h2	3.589158e-02	8.816072e-02	6.673541e-02
2150          	wall-h1	1.663766e+01	1.751039e+01	1.709737e+01
2150          	airfoil-h1	3.281884e-02	1.024445e-01	9.156788e-02
2200          	airfoil-l1	4.031692e-02	1.029861e-01	9.096761e-02
2200          	wall-l1	1.618946e+01	1.701118e+01	1.662262e+01
